城市编码,城市,大类,中类,小类,名称,经度,纬度
450100,南宁市,公司企业,公司,公司,广西蜀海供应链管理有限责任公司,108.374756,22.704681
450100,南宁市,公司企业,公司,机械电子,广西三新工程机械有限公司,108.497343,22.731619
450100,南宁市,公司企业,工厂,工厂,广西国塑管业集团有限公司,108.300208,23.060209
450100,南宁市,公司企业,公司,医药公司,广西康晟制药有限责任公司,108.290512,22.745244
450100,南宁市,公司企业,公司,公司,南宁武鸣漓源粮油饲料有限公司,108.284601,23.077602
450100,南宁市,公司企业,公司,网络科技,广西南星科技有限公司,108.278480,22.875725
450100,南宁市,公司企业,公司,公司,广西纵览线缆集团有限公司,108.251120,22.764010
450100,南宁市,公司企业,公司,公司,广西益生宜居建材科技有限公司,108.293213,22.736146
450100,南宁市,公司企业,公司,公司,宾阳通威饲料有限公司,109.135487,23.184902
450100,南宁市,公司企业,公司,公司,广西桂友集团总部基地,108.256397,22.760299
450100,南宁市,公司企业,公司,公司,广西万众工程检测有限公司,108.462839,22.907055
450100,南宁市,公司企业,公司,公司,南宁中车轨道交通装备有限公司,108.510956,22.723138
450100,南宁市,公司企业,公司,公司,中铁二局集团物资有限公司南宁分公司,108.258486,22.783917
450100,南宁市,公司企业,公司,公司,南宁市佳达纸业有限责任公司,108.849638,23.236521
450100,南宁市,公司企业,公司,公司,广西横县新威林板业有限公司,109.100649,22.896628
450100,南宁市,公司企业,公司,公司,南宁派吉纸业有限公司,108.324506,22.722582
450100,南宁市,公司企业,公司,公司,南宁公共交通集团有限公司,108.417285,22.811917
450100,南宁市,公司企业,公司,公司,广西南宁市韩太食品有限责任公司,108.188034,23.196077
450100,南宁市,公司企业,公司,公司,沙井新天地,108.237197,22.798383
450100,南宁市,公司企业,公司,电信公司,移动五象数字信息中心,108.389164,22.764609
450100,南宁市,公司企业,公司,公司,浪潮(南宁)计算机科技有限公司,108.316342,22.900591
450100,南宁市,公司企业,公司,公司,广西华港农牧发展有限公司,108.228422,22.578320
450100,南宁市,公司企业,公司,公司,丰林集团,108.365286,22.696681
450100,南宁市,公司企业,公司,公司,桂柳家禽南宁孵化分公司(南宁分公司),108.476889,22.913722
450100,南宁市,公司企业,公司,公司,广西南宁东旭彩板钢结构有限公司,108.312778,22.882721
450100,南宁市,公司企业,公司,公司,广西运德集团,108.322302,22.824838
450100,南宁市,公司企业,公司,医药公司,南宁赢创美诗药业有限公司,108.267939,23.140026
450100,南宁市,公司企业,公司,公司,广西金皇品食品有限公司,108.197333,23.178891
450100,南宁市,公司企业,公司,公司,广西联纲智能科技有限公司,108.254875,22.770325
450100,南宁市,公司企业,公司,机械电子,南宁市三礼电子有限公司,107.732429,23.171473
450100,南宁市,公司企业,公司,公司,华测检测,108.275517,22.872230
450100,南宁市,公司企业,公司,公司,广西森合高新科技股份有限公司,108.227625,22.571369
450100,南宁市,公司企业,公司,公司,广西万泰印务有限公司,108.295021,22.762463
450100,南宁市,公司企业,公司,公司,伊莱福南宁顶津食品有限公司,108.253710,22.763453
450100,南宁市,公司企业,公司,公司,南宁万丰塑料制品有限公司,108.272901,22.876369
450100,南宁市,公司企业,公司,公司,南宁市鹏杰盛科技有限公司,108.385944,22.696202
450100,南宁市,公司企业,公司,公司,南宁市沿海家畜定点屠宰场,108.337236,22.727544
450100,南宁市,公司企业,公司,公司,九禾测土配肥公司,108.909875,22.853529
450100,南宁市,公司企业,公司,广告装饰,创艺装饰(梦之岛店),108.309566,22.794298
450100,南宁市,公司企业,公司,广告装饰,中宅装饰集团(全国总部),108.347724,22.816923
450100,南宁市,公司企业,公司,广告装饰,星艺装饰(南宁公司),108.373168,22.812320
450100,南宁市,公司企业,公司,广告装饰,汉星装饰集团(五象旗舰店),108.379647,22.774380
450100,南宁市,公司企业,公司,广告装饰,名匠家装(广西总部),108.369960,22.818048
450100,南宁市,公司企业,公司,广告装饰,广西华辉装饰集团有限公司,108.300192,22.750875
450100,南宁市,公司企业,公司,广告装饰,荣美装饰集团,108.363953,22.827887
450100,南宁市,公司企业,公司,广告装饰,星艺装饰(麻村店),108.349845,22.813552
450100,南宁市,公司企业,公司,广告装饰,南宁东易日盛家居装饰有限公司,108.392419,22.810579
450100,南宁市,公司企业,公司,广告装饰,天亿图文广告,108.305511,22.773867
450100,南宁市,公司企业,公司,广告装饰,金空间装饰,108.353675,22.824975
450100,南宁市,公司企业,公司,广告装饰,紫苹果装饰(南宁店),108.353928,22.812709
450100,南宁市,公司企业,公司,广告装饰,广西精邸家居有限公司(家装工装.设计施工一条龙.全屋定制),108.232068,22.850208
450100,南宁市,公司企业,公司,广告装饰,荣大图文广告,108.409888,22.827839
450100,南宁市,公司企业,公司,广告装饰,欧庭装饰,108.317969,22.822751
450100,南宁市,公司企业,公司,广告装饰,佳艺图文广告,108.336342,22.832442
450100,南宁市,公司企业,公司,广告装饰,金典图文广告,108.172408,23.189962
450100,南宁市,公司企业,公司,广告装饰,广西龙头装饰工程有限公司,108.356686,22.827967
450100,南宁市,公司企业,公司,广告装饰,佳彩图文广告,108.414036,22.875113
450100,南宁市,公司企业,公司,广告装饰,华浔品味装修公司(南宁旗舰店),108.402872,22.814096
450100,南宁市,公司企业,公司,广告装饰,开门鸿广告招牌制作,108.317619,22.752447
450100,南宁市,公司企业,公司,广告装饰,智能图文广告(保利秀程府店),108.426644,22.793008
450100,南宁市,公司企业,公司,广告装饰,合四方装饰南宁分公司,108.372716,22.822238
450100,南宁市,公司企业,公司,广告装饰,蓝狮图文广告(绿地店),108.377381,22.831576
450100,南宁市,公司企业,公司,广告装饰,嘉强广告营销中心,108.269185,22.868713
450100,南宁市,公司企业,公司,广告装饰,雅美居装饰(南宁公司),108.389364,22.769353
450100,南宁市,公司企业,公司,广告装饰,晨旗图文广告店(民歌湖店),108.372920,22.811927
450100,南宁市,公司企业,公司,广告装饰,奥凯德图文广告,108.374745,22.829803
450100,南宁市,公司企业,公司,广告装饰,兆星广告标识厂,108.328551,22.717329
450100,南宁市,公司企业,公司,广告装饰,华浔装饰·全案设计·环保装修,108.369975,22.818075
450100,南宁市,公司企业,公司,广告装饰,铂尼思整装大家居(尚东美宅旗舰店),108.360673,22.828922
450100,南宁市,公司企业,公司,广告装饰,印美特图文广告,108.363947,22.866635
450100,南宁市,公司企业,公司,广告装饰,北京深度空间装饰(广西区总部),108.372025,22.774475
450100,南宁市,公司企业,公司,广告装饰,汇彩图文广告博艺路店,108.373021,22.774498
450100,南宁市,公司企业,公司,广告装饰,星鸿图文广告,108.229742,22.784103
450100,南宁市,公司企业,公司,广告装饰,广西南宁市万帮达广告有限公司,108.279675,22.744025
450100,南宁市,公司企业,公司,广告装饰,新路图文广告,108.379786,22.756927
450100,南宁市,公司企业,公司,广告装饰,抖家设计事务所,108.369094,22.812261
450100,南宁市,公司企业,公司,广告装饰,锦坤图文广告,108.342722,22.737298
450100,南宁市,公司企业,公司,广告装饰,金斗云图文广告,108.284294,22.879288
450100,南宁市,公司企业,公司,广告装饰,金梧桐装饰,108.364694,22.828155
450100,南宁市,公司企业,公司,广告装饰,嘉诚一品装饰,108.308016,22.793770
450100,南宁市,公司企业,公司,广告装饰,乐潼图文广告24小时,108.413225,22.811675
450100,南宁市,公司企业,公司,广告装饰,弘海图文广告,108.378098,22.732206
450100,南宁市,公司企业,公司,广告装饰,艳彩图文广告,108.355307,22.852797
450100,南宁市,公司企业,公司,广告装饰,阳光图文·广告(佛子岭路店),108.396823,22.831430
450100,南宁市,公司企业,公司,广告装饰,南宁嘉旺广告公司,108.266225,22.866825
450100,南宁市,公司企业,公司,广告装饰,广西建林装饰工程有限责任公司,108.301803,22.798436
450100,南宁市,公司企业,公司,广告装饰,南宁庆良广告有限公司(刻章照相),108.408690,22.748498
450100,南宁市,公司企业,公司,广告装饰,玉习图文广告 盛湖店,108.472943,22.770725
450100,南宁市,公司企业,公司,广告装饰,乐牛快印·广告,108.387205,22.759870
450100,南宁市,公司企业,公司,广告装饰,奕心图文广告,108.309161,22.757029
450100,南宁市,公司企业,公司,广告装饰,广西南庭艺筑装饰集团,108.286642,23.145640
450100,南宁市,公司企业,公司,广告装饰,湘达图文广告,108.293342,22.867396
450100,南宁市,公司企业,公司,广告装饰,宾阳嘉艺广告,108.818433,23.215238
450100,南宁市,公司企业,公司,广告装饰,南宁市程津隆精密机械科技有限公司,107.730517,23.176919
450100,南宁市,公司企业,公司,广告装饰,皓坤图文广告,108.355357,22.856834
450100,南宁市,公司企业,公司,广告装饰,广西港源建筑装饰工程有限公司,108.318413,22.777270
450100,南宁市,公司企业,公司,广告装饰,杰圆图文广告(相思湖店),108.197529,22.831828
450100,南宁市,公司企业,公司,广告装饰,奥速数字快印广告,108.404787,22.814265
450100,南宁市,公司企业,公司,广告装饰,上华嘉装饰集团,108.310647,22.844080
450100,南宁市,公司企业,公司,广告装饰,归来居装饰,108.341275,22.757925
450100,南宁市,公司企业,公司,广告装饰,晴天图文广告,109.272934,22.697248
450100,南宁市,公司企业,公司,广告装饰,广西敏钢建筑装饰工程有限公司,108.248498,22.771393
450100,南宁市,公司企业,公司,广告装饰,字尚广告招牌制作,108.389030,22.815931
450100,南宁市,公司企业,公司,广告装饰,善诚装饰,108.284461,22.838533
450100,南宁市,公司企业,公司,广告装饰,凯泰图文广告,108.413035,22.745485
450100,南宁市,公司企业,公司,广告装饰,睿上空间设计事务所,108.391195,22.813523
450100,南宁市,公司企业,公司,广告装饰,亚梵设计,108.829602,23.213528
450100,南宁市,公司企业,公司,广告装饰,广西锐艺装饰工程有限公司,108.330924,22.840942
450100,南宁市,公司企业,公司,广告装饰,广西南宁市日泰装饰工程有限公司,108.297048,22.853267
450100,南宁市,公司企业,公司,广告装饰,景晟图文广告部(打印照相刻章广告灯箱),108.302699,22.872663
450100,南宁市,公司企业,公司,广告装饰,广西传客广告有限公司,108.317884,22.886780
450100,南宁市,公司企业,公司,广告装饰,龙正装饰工程有限公司,108.379950,22.704827
450100,南宁市,公司企业,公司,广告装饰,百桂家居装饰,108.297571,23.138936
450100,南宁市,公司企业,公司,广告装饰,靓美家装饰(装修中),108.468759,22.782357
450100,南宁市,公司企业,公司,广告装饰,广西南星装饰设计有限公司,108.376853,22.831006
450100,南宁市,公司企业,公司,广告装饰,广西杨晨斯金科技开发有限公司,108.246554,22.869248
450100,南宁市,公司企业,公司,广告装饰,广西青山美宿装饰工程有限公司,108.383652,22.867012
450100,南宁市,公司企业,公司,广告装饰,广西明亮广告制作有限责任公司,108.318007,22.900725
450100,南宁市,公司企业,公司,广告装饰,利富居五金建材经销部,108.179036,22.804530
450100,南宁市,公司企业,公司,广告装饰,高见广告图文装饰,108.387087,22.727324
450100,南宁市,公司企业,公司,广告装饰,广西象和里装饰设计有限公司,108.379075,22.760575
450100,南宁市,公司企业,公司,广告装饰,慈祥装饰工作室,108.323025,22.788775
450100,南宁市,公司企业,公司,广告装饰,诚印图文广告,108.447730,22.792782
450100,南宁市,公司企业,公司,广告装饰,十方天室内设计,108.291816,22.870035
450100,南宁市,公司企业,公司,广告装饰,天鼎广告装饰,108.346313,22.865214
450100,南宁市,公司企业,公司,广告装饰,KTg Design金堂果装饰,108.374849,22.831153
450100,南宁市,公司企业,公司,广告装饰,一六八图文广告富雅国际生活广场店,108.386786,22.759156
450100,南宁市,公司企业,公司,广告装饰,广西至臻建筑装饰工程有限公司,108.371921,22.766243
450100,南宁市,公司企业,公司,广告装饰,澜博广告传媒有限公司,108.175139,23.196228
450100,南宁市,公司企业,公司,广告装饰,飞达图文广告,108.606804,23.432120
450100,南宁市,公司企业,公司,广告装饰,58图文广告,108.219016,22.645754
450100,南宁市,公司企业,公司,广告装饰,广西景柏雅装饰工程有限公司,108.047804,22.917415
450100,南宁市,公司企业,公司,广告装饰,广西南宁万致装饰设计工程有限公司,108.375622,22.766996
450100,南宁市,公司企业,公司,广告装饰,横州市卓雅定制家具&兔宝宝全屋定制,109.280589,22.687367
450100,南宁市,公司企业,公司,广告装饰,永高装饰,108.329313,22.765395
450100,南宁市,公司企业,公司,广告装饰,广西旅发建筑装饰工程有限公司,108.379919,22.760395
450100,南宁市,公司企业,公司,广告装饰,广西圣邦装饰,108.358817,22.806446
450100,南宁市,公司企业,公司,广告装饰,印友图文快印广告,108.374448,22.765965
450100,南宁市,公司企业,公司,广告装饰,南宁市明真广告有限公司,108.442807,22.898403
450100,南宁市,公司企业,公司,广告装饰,名晟图文广告,108.300303,23.144226
450100,南宁市,公司企业,公司,广告装饰,速捷图文广告,108.379827,22.705628
450100,南宁市,公司企业,公司,广告装饰,优合图文广告,108.449418,22.791433
450100,南宁市,公司企业,公司,广告装饰,阿周图文广告,108.395468,22.746622
450100,南宁市,公司企业,公司,广告装饰,南宁市聚万广告有限公司,108.397094,22.870019
450100,南宁市,公司企业,公司,广告装饰,祥印图文广告,108.451419,22.793890
450100,南宁市,公司企业,公司,广告装饰,新锐广告图文快印,108.319848,22.848062
